"Book","Ch Ct","Acrostic","1st Ltr","Ltr Ct","Ct Diff"
"OLD TESTAMENT","39","IN THE HISTORY BOOKS TRULY WE SEE A PERFECT PLAN","","39",""
"Genesis","50","INITIAL FALL, CALLING ABRAHAM, ISAAC TO JACOB, JOSEPH IN EGYPT","I","50",""
"Exodus","40","NATION ESCAPES EGYPT, GET LAW, CREATE TABERNACLE","N","40",""
"Leviticus","27","TEACHING GOD'S LAWS TO THE PEOPLE","T","27",""
"Numbers","36","HISTORY OF ISRAEL'S FORTY WILDERNESS YEARS","H","36",""
"Deuteronomy","34","EARNESTLY REPEATS THE LAW BEFORE CANAAN","E","34",""
"Joshua","24","HOW ISRAEL CONQUERED CANAAN","H","24",""
"Judges","21","ISRAEL'S DOWNWARD SPIRAL","I","21",""
"Ruth","4","STAY","S","4",""
"1 Samuel","31","TWO KINGS CHOSEN BY GOD: SAUL AND DAVID","T","31",""
"2 Samuel","24","ONE KINGDOM UNDER KING DAVID","O","24",""
"1 Kings","22","REIGN OF SOLOMON THEN RIFT","R","22",""
"2 Kings","25","YEARS OF SIN UNTIL BOTH OUSTED","Y","25",""
"1 Chronicles","29","BLOODLINE, DAVID'S REIGN, PRE-TEMPLE","B","29",""
"2 Chronicles","36","OUR TEMPLE, SOLOMON'S ROYAL LINE UNTIL TAKEN","O","36",""
"Ezra","10","OUR REBIRTH","O","10",""
"Nehemiah","13","KINGDOM'S WALLS","K","13",""
"Esther","10","SAVING JEWS","S","10",""
"Job","42","THE STORY OF A RIGHTEOUS MAN WHO LOST ALL HE EVER HAD","T","42",""
"Psalms","150","RESPONDING TO GOD'S GOODNESS KING DAVID WORSHIPS 
OUR GREAT KING WHO WILL REDEEM US FROM 
YEARS OF DEEP SORROW 
AND PREVAIL FOREVER. 
LET OUR PRAISES GO UP TO JERUSALEM AND BRING HIM GLORY.","R","150",""
"Proverbs","31","UNDERSTANDING WISDOM FOR DAILY LIFE","U","31",""
"Ecclesiastes","12","LIFE'S MEANING","L","12",""
"Song of Solomon","8","YEARNING ","Y","8",""
"Isaiah","66","WARNINGS OF JUDGMENT AND PROMISES OF A NEW KING, SUFFERING SERVANT, NEW CREATION","W","66",""
"Jeremiah","52","ENTRY TO BABYLON PROPHESIED AND A NEW COVENANT OF FORGIVENESS ","E","52",""
"Lamentations","5","SHAME","S","5",""
"Ezekiel","48","END OF JUDAH PROPHESIED AND THEN A NEW TEMPLE IN JERUSALEM","E","48",""
"Daniel","12","EMPIRE VISION","E","12",""
"Hosea","14","ADULTEROUS WIFE","A","14",""
"Joel","3","PAY","P","3",""
"Amos","9","EQUITY NOW","E","9",""
"Obadiah","21","REPAYING PROUD EDOMITES","R","21",""
"Jonah","4","FISH","F","4",""
"Micah","7","ETHICAL","E","7",""
"Nahum","3","CRY","C","3",""
"Habakkuk","3","THY","T","3",""
"Zephaniah","3","PAN","P","3",""
"Haggai","2","LO","L","2",""
"Zechariah","14","A COMING MESSIAH","A","14",""
"Malachi","4","NAME","N","4",""
"NEW TESTAMENT","27","JESUS GAVE US NEW LIFE ETERNALLY","","27",""
"Matthew","28","JESUS THE ANOINTED KING OF ISRAEL","J","28",""
"Mark","16","ESSENTIAL ACCOUNT","E","16",""
"Luke","24","SYSTEMATIC ACCOUNT OF JESUS","S","24",""
"John","21","UNIQUE GOSPEL ABOUT LOVE","U","21",""
"Acts","28","SPIRIT BORN CHURCH BEARS WITNESS","S","28",""
"Romans","16","GOD'S GRACE AS A GIFT","G","16",""
"1 Corinthians","16","ABOVE ALL ELSE LOVE","A","16",""
"2 Corinthians","13","VICTORY IN LOSS","V","13",""
"Galatians","6","ESCAPE","E","6",""
"Ephesians","6","UNITED","U","6",""
"Philippians","4","SAME","S","4",""
"Colossians","4","NAME","N","4",""
"1 Thessalonians","5","EAGER","E","5",""
"2 Thessalonians","3","WIN","W","3",""
"1 Timothy","6","LEADER","L","6",""
"2 Timothy","4","INTO","I","4",""
"Titus","3","FIT","F","3",""
"Philemon","25","EMBRACE ONESIMUS AS A BROTHER","E","25",""
"Hebrews","13","ETERNAL PRIEST","E","13",""
"James","5","TRIAL","T","5",""
"1 Peter","5","ELECT","E","5",""
"2 Peter","3","RID","R","3",""
"1 John","5","NO SIN","N","5",""
"2 John","13","ABIDE IN CHRIST","A","13",""
"3 John","15","LOVE YOUR FRIENDS","L","15",""
"Jude","25","LOOK OUT FOR THESE UNGODLY MEN","L","25",""
"Revelation","22","YES JESUS WILL RETURN SOON","Y","22",""
"","","","","","0"
